"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/09/2016 21:29:17:266 +0000"

"MODEL SETTINGS"
"immune-chance","num-infect","initial-people","recovery-chance"
"5","50","150","7"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","165","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"17","27","15","true","17","123","55","true","17","7","5","true","17","5","25","true","17","150","35","true","17","50","45","true"
"18","28","15","true","18","122","55","true","18","7","5","true","18","5","25","true","18","150","35","true","18","50","45","true"
"19","29","15","true","19","121","55","true","19","7","5","true","19","5","25","true","19","150","35","true","19","50","45","true"
"20","31","15","true","20","119","55","true","20","7","5","true","20","5","25","true","20","150","35","true","20","50","45","true"
"21","29","15","true","21","121","55","true","21","7","5","true","21","5","25","true","21","150","35","true","21","50","45","true"
"22","30","15","true","22","120","55","true","22","7","5","true","22","5","25","true","22","150","35","true","22","50","45","true"
"23","32","15","true","23","118","55","true","23","7","5","true","23","5","25","true","23","150","35","true","23","50","45","true"
"24","32","15","true","24","118","55","true","24","7","5","true","24","5","25","true","24","150","35","true","24","50","45","true"
"25","31","15","true","25","119","55","true","25","7","5","true","25","5","25","true","25","150","35","true","25","50","45","true"
"26","36","15","true","26","114","55","true","26","7","5","true","26","5","25","true","26","150","35","true","26","50","45","true"
"27","34","15","true","27","116","55","true","27","7","5","true","27","5","25","true","27","150","35","true","27","50","45","true"
"28","37","15","true","28","113","55","true","28","7","5","true","28","5","25","true","28","150","35","true","28","50","45","true"
"29","38","15","true","29","112","55","true","29","7","5","true","29","5","25","true","29","150","35","true","29","50","45","true"
"30","36","15","true","30","114","55","true","30","7","5","true","30","5","25","true","30","150","35","true","30","50","45","true"
"31","42","15","true","31","108","55","true","31","7","5","true","31","5","25","true","31","150","35","true","31","50","45","true"
"32","42","15","true","32","108","55","true","32","7","5","true","32","5","25","true","32","150","35","true","32","50","45","true"
"33","40","15","true","33","110","55","true","33","7","5","true","33","5","25","true","33","150","35","true","33","50","45","true"
"34","37","15","true","34","113","55","true","34","7","5","true","34","5","25","true","34","150","35","true","34","50","45","true"
"35","35","15","true","35","115","55","true","35","7","5","true","35","5","25","true","35","150","35","true","35","50","45","true"
"36","35","15","true","36","115","55","true","36","7","5","true","36","5","25","true","36","150","35","true","36","50","45","true"
"37","33","15","true","37","117","55","true","37","7","5","true","37","5","25","true","37","150","35","true","37","50","45","true"
"38","29","15","true","38","121","55","true","38","7","5","true","38","5","25","true","38","150","35","true","38","50","45","true"
"39","30","15","true","39","120","55","true","39","7","5","true","39","5","25","true","39","150","35","true","39","50","45","true"
"40","29","15","true","40","121","55","true","40","7","5","true","40","5","25","true","40","150","35","true","40","50","45","true"
"41","24","15","true","41","126","55","true","41","7","5","true","41","5","25","true","41","150","35","true","41","50","45","true"
"42","29","15","true","42","121","55","true","42","7","5","true","42","5","25","true","42","150","35","true","42","50","45","true"
"43","32","15","true","43","118","55","true","43","7","5","true","43","5","25","true","43","150","35","true","43","50","45","true"
"44","33","15","true","44","117","55","true","44","7","5","true","44","5","25","true","44","150","35","true","44","50","45","true"
"45","34","15","true","45","116","55","true","45","7","5","true","45","5","25","true","45","150","35","true","45","50","45","true"
"46","32","15","true","46","118","55","true","46","7","5","true","46","5","25","true","46","150","35","true","46","50","45","true"
"47","30","15","true","47","120","55","true","47","7","5","true","47","5","25","true","47","150","35","true","47","50","45","true"
"48","28","15","true","48","122","55","true","48","7","5","true","48","5","25","true","48","150","35","true","48","50","45","true"
"49","29","15","true","49","121","55","true","49","7","5","true","49","5","25","true","49","150","35","true","49","50","45","true"
"50","28","15","true","50","122","55","true","50","7","5","true","50","5","25","true","50","150","35","true","50","50","45","true"
"51","26","15","true","51","124","55","true","51","7","5","true","51","5","25","true","51","150","35","true","51","50","45","true"
"52","29","15","true","52","121","55","true","52","7","5","true","52","5","25","true","52","150","35","true","52","50","45","true"
"53","31","15","true","53","119","55","true","53","7","5","true","53","5","25","true","53","150","35","true","53","50","45","true"
"54","30","15","true","54","120","55","true","54","7","5","true","54","5","25","true","54","150","35","true","54","50","45","true"
"55","29","15","true","55","121","55","true","55","7","5","true","55","5","25","true","55","150","35","true","55","50","45","true"
"56","28","15","true","56","122","55","true","56","7","5","true","56","5","25","true","56","150","35","true","56","50","45","true"
"57","30","15","true","57","120","55","true","57","7","5","true","57","5","25","true","57","150","35","true","57","50","45","true"
"58","32","15","true","58","118","55","true","58","7","5","true","58","5","25","true","58","150","35","true","58","50","45","true"
"59","33","15","true","59","117","55","true","59","7","5","true","59","5","25","true","59","150","35","true","59","50","45","true"
"60","35","15","true","60","115","55","true","60","7","5","true","60","5","25","true","60","150","35","true","60","50","45","true"
"61","38","15","true","61","112","55","true","61","7","5","true","61","5","25","true","61","150","35","true","61","50","45","true"
"62","37","15","true","62","113","55","true","62","7","5","true","62","5","25","true","62","150","35","true","62","50","45","true"
"63","39","15","true","63","111","55","true","63","7","5","true","63","5","25","true","63","150","35","true","63","50","45","true"
"64","42","15","true","64","108","55","true","64","7","5","true","64","5","25","true","64","150","35","true","64","50","45","true"
"65","39","15","true","65","111","55","true","65","7","5","true","65","5","25","true","65","150","35","true","65","50","45","true"
"66","39","15","true","66","111","55","true","66","7","5","true","66","5","25","true","66","150","35","true","66","50","45","true"
"67","41","15","true","67","109","55","true","67","7","5","true","67","5","25","true","67","150","35","true","67","50","45","true"
"68","42","15","true","68","108","55","true","68","7","5","true","68","5","25","true","68","150","35","true","68","50","45","true"
"69","43","15","true","69","107","55","true","69","7","5","true","69","5","25","true","69","150","35","true","69","50","45","true"
"70","45","15","true","70","105","55","true","70","7","5","true","70","5","25","true","70","150","35","true","70","50","45","true"
"71","45","15","true","71","105","55","true","71","7","5","true","71","5","25","true","71","150","35","true","71","50","45","true"
"72","41","15","true","72","109","55","true","72","7","5","true","72","5","25","true","72","150","35","true","72","50","45","true"
"73","41","15","true","73","109","55","true","73","7","5","true","73","5","25","true","73","150","35","true","73","50","45","true"
"74","40","15","true","74","110","55","true","74","7","5","true","74","5","25","true","74","150","35","true","74","50","45","true"
"75","39","15","true","75","111","55","true","75","7","5","true","75","5","25","true","75","150","35","true","75","50","45","true"
"76","38","15","true","76","112","55","true","76","7","5","true","76","5","25","true","76","150","35","true","76","50","45","true"
"77","38","15","true","77","112","55","true","77","7","5","true","77","5","25","true","77","150","35","true","77","50","45","true"
"78","40","15","true","78","110","55","true","78","7","5","true","78","5","25","true","78","150","35","true","78","50","45","true"
"79","41","15","true","79","109","55","true","79","7","5","true","79","5","25","true","79","150","35","true","79","50","45","true"
"80","39","15","true","80","111","55","true","80","7","5","true","80","5","25","true","80","150","35","true","80","50","45","true"
"81","41","15","true","81","109","55","true","81","7","5","true","81","5","25","true","81","150","35","true","81","50","45","true"
"82","42","15","true","82","108","55","true","82","7","5","true","82","5","25","true","82","150","35","true","82","50","45","true"
"83","43","15","true","83","107","55","true","83","7","5","true","83","5","25","true","83","150","35","true","83","50","45","true"
"84","40","15","true","84","110","55","true","84","7","5","true","84","5","25","true","84","150","35","true","84","50","45","true"
"85","43","15","true","85","107","55","true","85","7","5","true","85","5","25","true","85","150","35","true","85","50","45","true"
"86","43","15","true","86","107","55","true","86","7","5","true","86","5","25","true","86","150","35","true","86","50","45","true"
"87","39","15","true","87","111","55","true","87","7","5","true","87","5","25","true","87","150","35","true","87","50","45","true"
"88","41","15","true","88","109","55","true","88","7","5","true","88","5","25","true","88","150","35","true","88","50","45","true"
"89","39","15","true","89","111","55","true","89","7","5","true","89","5","25","true","89","150","35","true","89","50","45","true"
"90","34","15","true","90","116","55","true","90","7","5","true","90","5","25","true","90","150","35","true","90","50","45","true"
"91","32","15","true","91","118","55","true","91","7","5","true","91","5","25","true","91","150","35","true","91","50","45","true"
"92","34","15","true","92","116","55","true","92","7","5","true","92","5","25","true","92","150","35","true","92","50","45","true"
"93","30","15","true","93","120","55","true","93","7","5","true","93","5","25","true","93","150","35","true","93","50","45","true"
"94","36","15","true","94","114","55","true","94","7","5","true","94","5","25","true","94","150","35","true","94","50","45","true"
"95","38","15","true","95","112","55","true","95","7","5","true","95","5","25","true","95","150","35","true","95","50","45","true"
"96","41","15","true","96","109","55","true","96","7","5","true","96","5","25","true","96","150","35","true","96","50","45","true"
"97","40","15","true","97","110","55","true","97","7","5","true","97","5","25","true","97","150","35","true","97","50","45","true"
"98","40","15","true","98","110","55","true","98","7","5","true","98","5","25","true","98","150","35","true","98","50","45","true"
"99","42","15","true","99","108","55","true","99","7","5","true","99","5","25","true","99","150","35","true","99","50","45","true"
"100","43","15","true","100","107","55","true","100","7","5","true","100","5","25","true","100","150","35","true","100","50","45","true"
"101","44","15","true","101","106","55","true","101","7","5","true","101","5","25","true","101","150","35","true","101","50","45","true"
"102","44","15","true","102","106","55","true","102","7","5","true","102","5","25","true","102","150","35","true","102","50","45","true"
"103","44","15","true","103","106","55","true","103","7","5","true","103","5","25","true","103","150","35","true","103","50","45","true"
"104","41","15","true","104","109","55","true","104","7","5","true","104","5","25","true","104","150","35","true","104","50","45","true"
"105","43","15","true","105","107","55","true","105","7","5","true","105","5","25","true","105","150","35","true","105","50","45","true"
"106","40","15","true","106","110","55","true","106","7","5","true","106","5","25","true","106","150","35","true","106","50","45","true"
"107","36","15","true","107","114","55","true","107","7","5","true","107","5","25","true","107","150","35","true","107","50","45","true"
"108","37","15","true","108","113","55","true","108","7","5","true","108","5","25","true","108","150","35","true","108","50","45","true"
"109","36","15","true","109","114","55","true","109","7","5","true","109","5","25","true","109","150","35","true","109","50","45","true"
"110","34","15","true","110","116","55","true","110","7","5","true","110","5","25","true","110","150","35","true","110","50","45","true"
"111","37","15","true","111","113","55","true","111","7","5","true","111","5","25","true","111","150","35","true","111","50","45","true"
"112","39","15","true","112","111","55","true","112","7","5","true","112","5","25","true","112","150","35","true","112","50","45","true"
"113","38","15","true","113","112","55","true","113","7","5","true","113","5","25","true","113","150","35","true","113","50","45","true"
"114","37","15","true","114","113","55","true","114","7","5","true","114","5","25","true","114","150","35","true","114","50","45","true"
"115","38","15","true","115","112","55","true","115","7","5","true","115","5","25","true","115","150","35","true","115","50","45","true"
"116","40","15","true","116","110","55","true","116","7","5","true","116","5","25","true","116","150","35","true","116","50","45","true"
"117","40","15","true","117","110","55","true","117","7","5","true","117","5","25","true","117","150","35","true","117","50","45","true"
"118","41","15","true","118","109","55","true","118","7","5","true","118","5","25","true","118","150","35","true","118","50","45","true"
"119","42","15","true","119","108","55","true","119","7","5","true","119","5","25","true","119","150","35","true","119","50","45","true"
"120","38","15","true","120","112","55","true","120","7","5","true","120","5","25","true","120","150","35","true","120","50","45","true"
"121","39","15","true","121","111","55","true","121","7","5","true","121","5","25","true","121","150","35","true","121","50","45","true"
"122","39","15","true","122","111","55","true","122","7","5","true","122","5","25","true","122","150","35","true","122","50","45","true"
"123","41","15","true","123","109","55","true","123","7","5","true","123","5","25","true","123","150","35","true","123","50","45","true"
"124","40","15","true","124","110","55","true","124","7","5","true","124","5","25","true","124","150","35","true","124","50","45","true"
"125","39","15","true","125","111","55","true","125","7","5","true","125","5","25","true","125","150","35","true","125","50","45","true"
"126","39","15","true","126","111","55","true","126","7","5","true","126","5","25","true","126","150","35","true","126","50","45","true"
"127","39","15","true","127","111","55","true","127","7","5","true","127","5","25","true","127","150","35","true","127","50","45","true"
"128","40","15","true","128","110","55","true","128","7","5","true","128","5","25","true","128","150","35","true","128","50","45","true"
"129","38","15","true","129","112","55","true","129","7","5","true","129","5","25","true","129","150","35","true","129","50","45","true"
"130","42","15","true","130","108","55","true","130","7","5","true","130","5","25","true","130","150","35","true","130","50","45","true"
"131","44","15","true","131","106","55","true","131","7","5","true","131","5","25","true","131","150","35","true","131","50","45","true"
"132","45","15","true","132","105","55","true","132","7","5","true","132","5","25","true","132","150","35","true","132","50","45","true"
"133","47","15","true","133","103","55","true","133","7","5","true","133","5","25","true","133","150","35","true","133","50","45","true"
"134","42","15","true","134","108","55","true","134","7","5","true","134","5","25","true","134","150","35","true","134","50","45","true"
"135","41","15","true","135","109","55","true","135","7","5","true","135","5","25","true","135","150","35","true","135","50","45","true"
"136","39","15","true","136","111","55","true","136","7","5","true","136","5","25","true","136","150","35","true","136","50","45","true"
"137","41","15","true","137","109","55","true","137","7","5","true","137","5","25","true","137","150","35","true","137","50","45","true"
"138","38","15","true","138","112","55","true","138","7","5","true","138","5","25","true","138","150","35","true","138","50","45","true"
"139","39","15","true","139","111","55","true","139","7","5","true","139","5","25","true","139","150","35","true","139","50","45","true"
"140","41","15","true","140","109","55","true","140","7","5","true","140","5","25","true","140","150","35","true","140","50","45","true"
"141","40","15","true","141","110","55","true","141","7","5","true","141","5","25","true","141","150","35","true","141","50","45","true"
"142","42","15","true","142","108","55","true","142","7","5","true","142","5","25","true","142","150","35","true","142","50","45","true"
"143","42","15","true","143","108","55","true","143","7","5","true","143","5","25","true","143","150","35","true","143","50","45","true"
"144","44","15","true","144","106","55","true","144","7","5","true","144","5","25","true","144","150","35","true","144","50","45","true"
"145","44","15","true","145","106","55","true","145","7","5","true","145","5","25","true","145","150","35","true","145","50","45","true"
"146","43","15","true","146","107","55","true","146","7","5","true","146","5","25","true","146","150","35","true","146","50","45","true"
"147","43","15","true","147","107","55","true","147","7","5","true","147","5","25","true","147","150","35","true","147","50","45","true"
"148","39","15","true","148","111","55","true","148","7","5","true","148","5","25","true","148","150","35","true","148","50","45","true"
"149","37","15","true","149","113","55","true","149","7","5","true","149","5","25","true","149","150","35","true","149","50","45","true"
"150","38","15","true","150","112","55","true","150","7","5","true","150","5","25","true","150","150","35","true","150","50","45","true"
"151","41","15","true","151","109","55","true","151","7","5","true","151","5","25","true","151","150","35","true","151","50","45","true"
"152","40","15","true","152","110","55","true","152","7","5","true","152","5","25","true","152","150","35","true","152","50","45","true"
"153","38","15","true","153","112","55","true","153","7","5","true","153","5","25","true","153","150","35","true","153","50","45","true"
"154","35","15","true","154","115","55","true","154","7","5","true","154","5","25","true","154","150","35","true","154","50","45","true"
"155","36","15","true","155","114","55","true","155","7","5","true","155","5","25","true","155","150","35","true","155","50","45","true"
"156","34","15","true","156","116","55","true","156","7","5","true","156","5","25","true","156","150","35","true","156","50","45","true"
"157","33","15","true","157","117","55","true","157","7","5","true","157","5","25","true","157","150","35","true","157","50","45","true"
"158","31","15","true","158","119","55","true","158","7","5","true","158","5","25","true","158","150","35","true","158","50","45","true"
"159","28","15","true","159","122","55","true","159","7","5","true","159","5","25","true","159","150","35","true","159","50","45","true"
"160","31","15","true","160","119","55","true","160","7","5","true","160","5","25","true","160","150","35","true","160","50","45","true"
"161","30","15","true","161","120","55","true","161","7","5","true","161","5","25","true","161","150","35","true","161","50","45","true"
"162","34","15","true","162","116","55","true","162","7","5","true","162","5","25","true","162","150","35","true","162","50","45","true"
"163","34","15","true","163","116","55","true","163","7","5","true","163","5","25","true","163","150","35","true","163","50","45","true"
"164","33","15","true","164","117","55","true","164","7","5","true","164","5","25","true","164","150","35","true","164","50","45","true"
"165","33","15","true","165","117","55","true","165","7","5","true","165","5","25","true","165","150","35","true","165","50","45","true"
"166","32","15","true","166","118","55","true","166","7","5","true","166","5","25","true","166","150","35","true","166","50","45","true"
"167","31","15","true","167","119","55","true","167","7","5","true","167","5","25","true","167","150","35","true","167","50","45","true"
"168","29","15","true","168","121","55","true","168","7","5","true","168","5","25","true","168","150","35","true","168","50","45","true"
"169","31","15","true","169","119","55","true","169","7","5","true","169","5","25","true","169","150","35","true","169","50","45","true"
"170","28","15","true","170","122","55","true","170","7","5","true","170","5","25","true","170","150","35","true","170","50","45","true"
"171","27","15","true","171","123","55","true","171","7","5","true","171","5","25","true","171","150","35","true","171","50","45","true"
"172","28","15","true","172","122","55","true","172","7","5","true","172","5","25","true","172","150","35","true","172","50","45","true"
"173","30","15","true","173","120","55","true","173","7","5","true","173","5","25","true","173","150","35","true","173","50","45","true"
"174","29","15","true","174","121","55","true","174","7","5","true","174","5","25","true","174","150","35","true","174","50","45","true"
"175","26","15","true","175","124","55","true","175","7","5","true","175","5","25","true","175","150","35","true","175","50","45","true"
"176","21","15","true","176","129","55","true","176","7","5","true","176","5","25","true","176","150","35","true","176","50","45","true"
"177","21","15","true","177","129","55","true","177","7","5","true","177","5","25","true","177","150","35","true","177","50","45","true"
"178","24","15","true","178","126","55","true","178","7","5","true","178","5","25","true","178","150","35","true","178","50","45","true"
"179","23","15","true","179","127","55","true","179","7","5","true","179","5","25","true","179","150","35","true","179","50","45","true"
"180","26","15","true","180","124","55","true","180","7","5","true","180","5","25","true","180","150","35","true","180","50","45","true"
"181","25","15","true","181","125","55","true","181","7","5","true","181","5","25","true","181","150","35","true","181","50","45","true"
"182","27","15","true","182","123","55","true","182","7","5","true","182","5","25","true","182","150","35","true","182","50","45","true"
"183","25","15","true","183","125","55","true","183","7","5","true","183","5","25","true","183","150","35","true","183","50","45","true"
"184","29","15","true","184","121","55","true","184","7","5","true","184","5","25","true","184","150","35","true","184","50","45","true"
"185","32","15","true","185","118","55","true","185","7","5","true","185","5","25","true","185","150","35","true","185","50","45","true"
"186","33","15","true","186","117","55","true","186","7","5","true","186","5","25","true","186","150","35","true","186","50","45","true"
"187","31","15","true","187","119","55","true","187","7","5","true","187","5","25","true","187","150","35","true","187","50","45","true"
"188","29","15","true","188","121","55","true","188","7","5","true","188","5","25","true","188","150","35","true","188","50","45","true"
"189","29","15","true","189","121","55","true","189","7","5","true","189","5","25","true","189","150","35","true","189","50","45","true"
"190","31","15","true","190","119","55","true","190","7","5","true","190","5","25","true","190","150","35","true","190","50","45","true"
"191","29","15","true","191","121","55","true","191","7","5","true","191","5","25","true","191","150","35","true","191","50","45","true"
"192","32","15","true","192","118","55","true","192","7","5","true","192","5","25","true","192","150","35","true","192","50","45","true"
"193","32","15","true","193","118","55","true","193","7","5","true","193","5","25","true","193","150","35","true","193","50","45","true"
"194","32","15","true","194","118","55","true","194","7","5","true","194","5","25","true","194","150","35","true","194","50","45","true"
"195","30","15","true","195","120","55","true","195","7","5","true","195","5","25","true","195","150","35","true","195","50","45","true"
"196","30","15","true","196","120","55","true","196","7","5","true","196","5","25","true","196","150","35","true","196","50","45","true"
"197","30","15","true","197","120","55","true","197","7","5","true","197","5","25","true","197","150","35","true","197","50","45","true"
"198","29","15","true","198","121","55","true","198","7","5","true","198","5","25","true","198","150","35","true","198","50","45","true"
"199","31","15","true","199","119","55","true","199","7","5","true","199","5","25","true","199","150","35","true","199","50","45","true"
"200","31","15","true","200","119","55","true","200","7","5","true","200","5","25","true","200","150","35","true","200","50","45","true"
"201","35","15","true","201","115","55","true","201","7","5","true","201","5","25","true","201","150","35","true","201","50","45","true"
"202","34","15","true","202","116","55","true","202","7","5","true","202","5","25","true","202","150","35","true","202","50","45","true"
"203","32","15","true","203","118","55","true","203","7","5","true","203","5","25","true","203","150","35","true","203","50","45","true"
"204","31","15","true","204","119","55","true","204","7","5","true","204","5","25","true","204","150","35","true","204","50","45","true"
"205","33","15","true","205","117","55","true","205","7","5","true","205","5","25","true","205","150","35","true","205","50","45","true"
"206","33","15","true","206","117","55","true","206","7","5","true","206","5","25","true","206","150","35","true","206","50","45","true"
"207","32","15","true","207","118","55","true","207","7","5","true","207","5","25","true","207","150","35","true","207","50","45","true"
"208","32","15","true","208","118","55","true","208","7","5","true","208","5","25","true","208","150","35","true","208","50","45","true"
"209","35","15","true","209","115","55","true","209","7","5","true","209","5","25","true","209","150","35","true","209","50","45","true"
"210","36","15","true","210","114","55","true","210","7","5","true","210","5","25","true","210","150","35","true","210","50","45","true"
"211","33","15","true","211","117","55","true","211","7","5","true","211","5","25","true","211","150","35","true","211","50","45","true"
"212","32","15","true","212","118","55","true","212","7","5","true","212","5","25","true","212","150","35","true","212","50","45","true"
"213","33","15","true","213","117","55","true","213","7","5","true","213","5","25","true","213","150","35","true","213","50","45","true"
"214","34","15","true","214","116","55","true","214","7","5","true","214","5","25","true","214","150","35","true","214","50","45","true"
"215","34","15","true","215","116","55","true","215","7","5","true","215","5","25","true","215","150","35","true","215","50","45","true"
"216","32","15","true","216","118","55","true","216","7","5","true","216","5","25","true","216","150","35","true","216","50","45","true"
"217","32","15","true","217","118","55","true","217","7","5","true","217","5","25","true","217","150","35","true","217","50","45","true"
"218","34","15","true","218","116","55","true","218","7","5","true","218","5","25","true","218","150","35","true","218","50","45","true"
"219","34","15","true","219","116","55","true","219","7","5","true","219","5","25","true","219","150","35","true","219","50","45","true"
"220","35","15","true","220","115","55","true","220","7","5","true","220","5","25","true","220","150","35","true","220","50","45","true"
"221","35","15","true","221","115","55","true","221","7","5","true","221","5","25","true","221","150","35","true","221","50","45","true"
"222","33","15","true","222","117","55","true","222","7","5","true","222","5","25","true","222","150","35","true","222","50","45","true"
"223","34","15","true","223","116","55","true","223","7","5","true","223","5","25","true","223","150","35","true","223","50","45","true"
"224","36","15","true","224","114","55","true","224","7","5","true","224","5","25","true","224","150","35","true","224","50","45","true"
"225","37","15","true","225","113","55","true","225","7","5","true","225","5","25","true","225","150","35","true","225","50","45","true"
"226","39","15","true","226","111","55","true","226","7","5","true","226","5","25","true","226","150","35","true","226","50","45","true"
"227","44","15","true","227","106","55","true","227","7","5","true","227","5","25","true","227","150","35","true","227","50","45","true"
"228","42","15","true","228","108","55","true","228","7","5","true","228","5","25","true","228","150","35","true","228","50","45","true"
"229","42","15","true","229","108","55","true","229","7","5","true","229","5","25","true","229","150","35","true","229","50","45","true"
"230","42","15","true","230","108","55","true","230","7","5","true","230","5","25","true","230","150","35","true","230","50","45","true"
"231","41","15","true","231","109","55","true","231","7","5","true","231","5","25","true","231","150","35","true","231","50","45","true"
"232","41","15","true","232","109","55","true","232","7","5","true","232","5","25","true","232","150","35","true","232","50","45","true"
"233","43","15","true","233","107","55","true","233","7","5","true","233","5","25","true","233","150","35","true","233","50","45","true"
"234","40","15","true","234","110","55","true","234","7","5","true","234","5","25","true","234","150","35","true","234","50","45","true"
"235","37","15","true","235","113","55","true","235","7","5","true","235","5","25","true","235","150","35","true","235","50","45","true"
"236","41","15","true","236","109","55","true","236","7","5","true","236","5","25","true","236","150","35","true","236","50","45","true"
"237","42","15","true","237","108","55","true","237","7","5","true","237","5","25","true","237","150","35","true","237","50","45","true"
"238","41","15","true","238","109","55","true","238","7","5","true","238","5","25","true","238","150","35","true","238","50","45","true"
"239","44","15","true","239","106","55","true","239","7","5","true","239","5","25","true","239","150","35","true","239","50","45","true"
"240","45","15","true","240","105","55","true","240","7","5","true","240","5","25","true","240","150","35","true","240","50","45","true"
"241","48","15","true","241","102","55","true","241","7","5","true","241","5","25","true","241","150","35","true","241","50","45","true"
"242","50","15","true","242","100","55","true","242","7","5","true","242","5","25","true","242","150","35","true","242","50","45","true"
"243","50","15","true","243","100","55","true","243","7","5","true","243","5","25","true","243","150","35","true","243","50","45","true"
"244","52","15","true","244","98","55","true","244","7","5","true","244","5","25","true","244","150","35","true","244","50","45","true"
"245","50","15","true","245","100","55","true","245","7","5","true","245","5","25","true","245","150","35","true","245","50","45","true"
"246","50","15","true","246","100","55","true","246","7","5","true","246","5","25","true","246","150","35","true","246","50","45","true"
"247","51","15","true","247","99","55","true","247","7","5","true","247","5","25","true","247","150","35","true","247","50","45","true"
"248","49","15","true","248","101","55","true","248","7","5","true","248","5","25","true","248","150","35","true","248","50","45","true"
"249","48","15","true","249","102","55","true","249","7","5","true","249","5","25","true","249","150","35","true","249","50","45","true"
"250","49","15","true","250","101","55","true","250","7","5","true","250","5","25","true","250","150","35","true","250","50","45","true"
"251","48","15","true","251","102","55","true","251","7","5","true","251","5","25","true","251","150","35","true","251","50","45","true"
"252","46","15","true","252","104","55","true","252","7","5","true","252","5","25","true","252","150","35","true","252","50","45","true"
"253","45","15","true","253","105","55","true","253","7","5","true","253","5","25","true","253","150","35","true","253","50","45","true"
"254","48","15","true","254","102","55","true","254","7","5","true","254","5","25","true","254","150","35","true","254","50","45","true"
"255","47","15","true","255","103","55","true","255","7","5","true","255","5","25","true","255","150","35","true","255","50","45","true"
"256","49","15","true","256","101","55","true","256","7","5","true","256","5","25","true","256","150","35","true","256","50","45","true"
"257","44","15","true","257","106","55","true","257","7","5","true","257","5","25","true","257","150","35","true","257","50","45","true"
"258","40","15","true","258","110","55","true","258","7","5","true","258","5","25","true","258","150","35","true","258","50","45","true"
"259","44","15","true","259","106","55","true","259","7","5","true","259","5","25","true","259","150","35","true","259","50","45","true"
"260","46","15","true","260","104","55","true","260","7","5","true","260","5","25","true","260","150","35","true","260","50","45","true"
"261","42","15","true","261","108","55","true","261","7","5","true","261","5","25","true","261","150","35","true","261","50","45","true"
