"export-plot data (NetLogo 5.3)"
"epidemic.nlogo"
"03/07/2016 21:57:28:411 +0000"

"MODEL SETTINGS"
"num-infect","immune-chance","initial-people","recovery-chance"
"50","0","200","7"

"""Health Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","5360","0","220","true","""default""","false","6"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","5000"
"""pen-1""","true","0","1","55","5000"
"""pen-2""","true","0","1","5","5000"
"""pen-3""","true","0","1","25","5000"
"""pen-4""","true","0","1","35","5000"
"""pen-5""","true","0","1","45","5000"

"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,,"""pen-4""",,,,"""pen-5"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","200","55","true","0","7","5","true","0","0","25","true","0","200","35","true","0","50","45","true"
"1","50","15","true","1","150","55","true","1","7","5","true","1","0","25","true","1","200","35","true","1","50","45","true"
"2","51","15","true","2","149","55","true","2","7","5","true","2","0","25","true","2","200","35","true","2","50","45","true"
"3","58","15","true","3","142","55","true","3","7","5","true","3","0","25","true","3","200","35","true","3","50","45","true"
"4","61","15","true","4","139","55","true","4","7","5","true","4","0","25","true","4","200","35","true","4","50","45","true"
"5","64","15","true","5","136","55","true","5","7","5","true","5","0","25","true","5","200","35","true","5","50","45","true"
"6","69","15","true","6","131","55","true","6","7","5","true","6","0","25","true","6","200","35","true","6","50","45","true"
"7","75","15","true","7","125","55","true","7","7","5","true","7","0","25","true","7","200","35","true","7","50","45","true"
"8","81","15","true","8","119","55","true","8","7","5","true","8","0","25","true","8","200","35","true","8","50","45","true"
"9","85","15","true","9","115","55","true","9","7","5","true","9","0","25","true","9","200","35","true","9","50","45","true"
"10","86","15","true","10","114","55","true","10","7","5","true","10","0","25","true","10","200","35","true","10","50","45","true"
"11","79","15","true","11","121","55","true","11","7","5","true","11","0","25","true","11","200","35","true","11","50","45","true"
"12","78","15","true","12","122","55","true","12","7","5","true","12","0","25","true","12","200","35","true","12","50","45","true"
"13","78","15","true","13","122","55","true","13","7","5","true","13","0","25","true","13","200","35","true","13","50","45","true"
"14","82","15","true","14","118","55","true","14","7","5","true","14","0","25","true","14","200","35","true","14","50","45","true"
"15","83","15","true","15","117","55","true","15","7","5","true","15","0","25","true","15","200","35","true","15","50","45","true"
"16","86","15","true","16","114","55","true","16","7","5","true","16","0","25","true","16","200","35","true","16","50","45","true"
"17","87","15","true","17","113","55","true","17","7","5","true","17","0","25","true","17","200","35","true","17","50","45","true"
"18","85","15","true","18","115","55","true","18","7","5","true","18","0","25","true","18","200","35","true","18","50","45","true"
"19","82","15","true","19","118","55","true","19","7","5","true","19","0","25","true","19","200","35","true","19","50","45","true"
"20","84","15","true","20","116","55","true","20","7","5","true","20","0","25","true","20","200","35","true","20","50","45","true"
"21","80","15","true","21","120","55","true","21","7","5","true","21","0","25","true","21","200","35","true","21","50","45","true"
"22","86","15","true","22","114","55","true","22","7","5","true","22","0","25","true","22","200","35","true","22","50","45","true"
"23","86","15","true","23","114","55","true","23","7","5","true","23","0","25","true","23","200","35","true","23","50","45","true"
"24","82","15","true","24","118","55","true","24","7","5","true","24","0","25","true","24","200","35","true","24","50","45","true"
"25","85","15","true","25","115","55","true","25","7","5","true","25","0","25","true","25","200","35","true","25","50","45","true"
"26","81","15","true","26","119","55","true","26","7","5","true","26","0","25","true","26","200","35","true","26","50","45","true"
"27","84","15","true","27","116","55","true","27","7","5","true","27","0","25","true","27","200","35","true","27","50","45","true"
"28","81","15","true","28","119","55","true","28","7","5","true","28","0","25","true","28","200","35","true","28","50","45","true"
"29","85","15","true","29","115","55","true","29","7","5","true","29","0","25","true","29","200","35","true","29","50","45","true"
"30","86","15","true","30","114","55","true","30","7","5","true","30","0","25","true","30","200","35","true","30","50","45","true"
"31","83","15","true","31","117","55","true","31","7","5","true","31","0","25","true","31","200","35","true","31","50","45","true"
"32","84","15","true","32","116","55","true","32","7","5","true","32","0","25","true","32","200","35","true","32","50","45","true"
"33","82","15","true","33","118","55","true","33","7","5","true","33","0","25","true","33","200","35","true","33","50","45","true"
"34","86","15","true","34","114","55","true","34","7","5","true","34","0","25","true","34","200","35","true","34","50","45","true"
"35","91","15","true","35","109","55","true","35","7","5","true","35","0","25","true","35","200","35","true","35","50","45","true"
"36","91","15","true","36","109","55","true","36","7","5","true","36","0","25","true","36","200","35","true","36","50","45","true"
"37","96","15","true","37","104","55","true","37","7","5","true","37","0","25","true","37","200","35","true","37","50","45","true"
"38","95","15","true","38","105","55","true","38","7","5","true","38","0","25","true","38","200","35","true","38","50","45","true"
"39","97","15","true","39","103","55","true","39","7","5","true","39","0","25","true","39","200","35","true","39","50","45","true"
"40","101","15","true","40","99","55","true","40","7","5","true","40","0","25","true","40","200","35","true","40","50","45","true"
"41","99","15","true","41","101","55","true","41","7","5","true","41","0","25","true","41","200","35","true","41","50","45","true"
"42","91","15","true","42","109","55","true","42","7","5","true","42","0","25","true","42","200","35","true","42","50","45","true"
"43","90","15","true","43","110","55","true","43","7","5","true","43","0","25","true","43","200","35","true","43","50","45","true"
"44","86","15","true","44","114","55","true","44","7","5","true","44","0","25","true","44","200","35","true","44","50","45","true"
"45","83","15","true","45","117","55","true","45","7","5","true","45","0","25","true","45","200","35","true","45","50","45","true"
"46","86","15","true","46","114","55","true","46","7","5","true","46","0","25","true","46","200","35","true","46","50","45","true"
"47","82","15","true","47","118","55","true","47","7","5","true","47","0","25","true","47","200","35","true","47","50","45","true"
"48","83","15","true","48","117","55","true","48","7","5","true","48","0","25","true","48","200","35","true","48","50","45","true"
"49","85","15","true","49","115","55","true","49","7","5","true","49","0","25","true","49","200","35","true","49","50","45","true"
"50","85","15","true","50","115","55","true","50","7","5","true","50","0","25","true","50","200","35","true","50","50","45","true"
"51","82","15","true","51","118","55","true","51","7","5","true","51","0","25","true","51","200","35","true","51","50","45","true"
"52","89","15","true","52","111","55","true","52","7","5","true","52","0","25","true","52","200","35","true","52","50","45","true"
"53","92","15","true","53","108","55","true","53","7","5","true","53","0","25","true","53","200","35","true","53","50","45","true"
"54","87","15","true","54","113","55","true","54","7","5","true","54","0","25","true","54","200","35","true","54","50","45","true"
"55","87","15","true","55","113","55","true","55","7","5","true","55","0","25","true","55","200","35","true","55","50","45","true"
"56","98","15","true","56","102","55","true","56","7","5","true","56","0","25","true","56","200","35","true","56","50","45","true"
"57","103","15","true","57","97","55","true","57","7","5","true","57","0","25","true","57","200","35","true","57","50","45","true"
"58","104","15","true","58","96","55","true","58","7","5","true","58","0","25","true","58","200","35","true","58","50","45","true"
"59","103","15","true","59","97","55","true","59","7","5","true","59","0","25","true","59","200","35","true","59","50","45","true"
"60","101","15","true","60","99","55","true","60","7","5","true","60","0","25","true","60","200","35","true","60","50","45","true"
